id,file_name,source_path,jurisdiction,court,title,relevant_law,gdpr_articles,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,appeal_from,appeal_to,original_languages,original_source
DE_280,MT_VG_Berlin_-_2_K_98_20.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_2_K_98_20.md,Germany,VG Berlin (Germany),VG Berlin - 2 K 98/20,Article 4(1) GDPRArticle 9(1) GDPR,"4,9",27/06/2022,27/10/2022,,,,,2 K 98/20,,,Unknown,German,openJur (in German)
DE_281,MT_VG_Berlin_-_3_L_664_21_A.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_3_L_664_21_A.md,Germany,VG Berlin (Germany),VG Berlin - 3 L 664/21 A,Article 9(2)(g) GDPRArticle 11(1)(e) and (f) Directive 2011/95/EU§ 73 (1) AsylG§ 73 (3a) AsylG,,17/01/2022,,,,,anonymousGerman Federal Office for Migration and Refugees (FOMR) - Bundesamt für Migartion und Flüchtlinge (BAMF),3 L 664/21 A,ECLI:DE:VGBE:2022:0117.3L664.21A.00,,,German,Berliner Vorschriften- und Rechtsprechungsdatenbank (in German)
DE_282,MT_VG_Berlin_-_VG_3L_1028.19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_VG_3L_1028.19.md,Germany,VG Berlin (Germany),VG Berlin - VG 3L 1028.19,Article 17(1)(a) GDPRArticle 17(1)(d) GDPR,,28/02/2020,,,,,Anonymous,3L 1028.19,ECLI:DE:VGBE:2020:0228.3L1028.19.00,,,German,Berlin-Brandenburg Court Decisions (in German)
DE_283,MT_VG_Cottbus_-_VG_4_K_1191_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Cottbus_-_VG_4_K_1191_19.md,Germany,VG Cottbus (Germany),VG Cottbus - VG 4 K 1191/19,Article 4(2) GDPRArticle 6(1)(c) GDPRArticle 6(1)(e) GDPRArticle 12(5) GDPRArticle 18(1) GDPRArticle 1(1) GGArticle 13 GGArticle 2(1) GG,"4,12,18",04/02/2022,04/02/2022,,,,Municipal administration association for water supplyProperty owner,VG 4 K 1191/19,ECLI:DE:VGCOTTB:2022:0204.4K1191.19.00,,Unknown,German,VG Cottbus (in German)
DE_284,MT_VG_Düsseldorf_-_29_K_3117_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Düsseldorf_-_29_K_3117_22.md,Germany,VG Düsseldorf (Germany),VG Düsseldorf - 29 K 3117/22,Article 5 GDPRArticle 58 GDPR,"5,58",16/01/2025,,,,,Data Controller (entity responsible for reporting to SCHUFA),29 K 3117/22,ECLI:EN:VGD:2022:0116.29K3117.22.00,,Unknown,German,Justice Portal North Rhine-Westphalia (in German)
DE_285,MT_VG_Düsseldorf_-_29_K_4853_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Düsseldorf_-_29_K_4853_22.md,Germany,VG Düsseldorf (Germany),VG Düsseldorf - 29 K 4853/22,Article 31 GDPRArticle 57 GDPRArticle 58(1)(e) GDPRArticle 58(2) GDPRArticle 77 GDPRArticle 78 GDPR,"31,57,58,77,78",11/11/2024,21/11/2024,,,,Landesbeauftragte für Datenschutz und Informationsfreiheit,29 K 4853/22,ECLI:DE:VGD:2024:1111.29K4853.22.00,,,German,Justizportal NRW (in German)
DE_286,MT_VG_Düsseldorf_-_29_K_7031_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Düsseldorf_-_29_K_7031_19.md,Germany,VG Düsseldorf (Germany),VG Düsseldorf - 29 K 7031/19,Article 77 GDPRArticle 78 GDPR§ 25 DSG NRW a. F.,"77,78",11/10/2021,,,,,,29 K 7031/19,ECLI:DE:VGD:2021:1011.29K7031.19.00,,n/a,German,Justiz - Online (in German)
DE_287,MT_VG_Frankfurt_am_Main_-_5_L1281_22.F.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Frankfurt_am_Main_-_5_L1281_22.F.md,Germany,VG Frankfurt am Main (Germany),VG Frankfurt am Main - 5 L1281/22.F,Article 5(1)(f) GDPRArticle 32(1)(a) GDPR,,15/07/2022,,,,,,5 L1281/22.F,ECLI:DE:VGFFM:2022:0715.5L1281.22.F.00,,Unknown,German,Bürgerservice Hessenrecht (in German)
DE_288,MT_VG_Frankfurt_am_Main_-_5_L_1623_22.F.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Frankfurt_am_Main_-_5_L_1623_22.F.md,Germany,VG Frankfurt am Main (Germany),VG Frankfurt am Main - 5 L 1623/22.F,Article 4(1) GDPRArticle 6(1)(e) GDPRArticle 18(1)(d) GDPRArticle 21 GDPR,"4,21",15/07/2022,,,,,The Federal Office of Economics and Export Control,5 L 1623/22.F,,,Unknown,German,openJur (in German)
DE_289,MT_VG_Frankfurt_am_Main_-_5_L_623_21.F.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Frankfurt_am_Main_-_5_L_623_21.F.md,Germany,VG Frankfurt (Germany),VG Frankfurt am Main - 5 L 623/21.F,Article 23 GDPR§ 123 VwGOArticle 3(1) GG,23,16/03/2021,,,,,,5 L 623/21.F,ECLI:DE:VGFFM:2021:0316.5L623.21.F.00,,,German,Bürgerservice Hessenrecht (in German)
